transect_id,distance_along_coast_x,distance_along_coast_y,nsm_pixels,epr_pixels_per_year,mac_pixels_per_year,change_type,num_years_data,position_1994,position_2004,position_2014,position_2024
0,0.0,0.0,0.0,0.0,0.0,Stable,4,0.04778182630242917,0.04778182630242917,0.04778182630242917,0.04778182630242917
1,50.0,50.0,0.0,0.0,0.0,Stable,4,1.0568497378655808,1.0568497378655808,1.0568497378655808,1.0568497378655808
2,100.0,100.0,0.0,0.0,0.0,Stable,4,0.0,0.0,0.0,0.0
3,150.0,150.0,0.0,0.0,0.0,Stable,4,0.04896351541084339,0.04896351541084339,0.04896351541084339,0.04896351541084339
4,200.0,200.0,0.0,0.0,0.0,Stable,4,0.09423741070920622,0.09423741070920622,0.09423741070920622,0.09423741070920622
5,250.0,250.0,0.0,0.0,0.0,Stable,4,0.3618944868353199,0.3618944868353199,0.3618944868353199,0.3618944868353199
6,300.0,300.0,0.0,0.0,0.0,Stable,4,0.34644054895337456,0.34644054895337456,0.34644054895337456,0.34644054895337456
7,350.0,350.0,0.0,0.0,0.0,Stable,4,29.822469805383854,29.822469805383854,29.822469805383854,29.822469805383854
8,400.0,400.0,0.0,0.0,0.0,Stable,4,22.047844585188653,22.047844585188653,22.047844585188653,22.047844585188653
9,450.0,450.0,0.0,0.0,0.0,Stable,4,1.0536868443300451,1.0536868443300451,1.0536868443300451,1.0536868443300451
10,500.0,500.0,0.0,0.0,0.0,Stable,4,28.63806261739047,28.63806261739047,28.63806261739047,28.63806261739047
11,550.0,550.0,0.0,0.0,0.0,Stable,4,49.04807028025981,49.04807028025981,49.04807028025981,49.04807028025981
12,600.0,600.0,0.0,0.0,0.0,Stable,4,0.11934505433535225,0.11934505433535225,0.11934505433535225,0.11934505433535225
13,650.0,650.0,0.0,0.0,0.0,Stable,4,0.21943594650984996,0.21943594650984996,0.21943594650984996,0.21943594650984996
14,700.0,700.0,0.0,0.0,0.0,Stable,4,0.7038455486977039,0.7038455486977039,0.7038455486977039,0.7038455486977039
15,750.0,750.0,0.0,0.0,0.0,Stable,4,0.37334888581871506,0.37334888581871506,0.37334888581871506,0.37334888581871506
16,800.0,800.0,0.0,0.0,0.0,Stable,4,103.45977130679033,103.45977130679033,103.45977130679033,103.45977130679033
17,850.0,850.0,0.0,0.0,0.0,Stable,4,119.34915381524756,119.34915381524756,119.34915381524756,119.34915381524756
18,900.0,900.0,0.0,0.0,0.0,Stable,4,112.28978632884454,112.28978632884454,112.28978632884454,112.28978632884454
19,950.0,950.0,0.0,0.0,0.0,Stable,4,0.44200493640596794,0.44200493640596794,0.44200493640596794,0.44200493640596794
20,1000.0,1000.0,0.0,0.0,0.0,Stable,4,50.2405320056933,50.2405320056933,50.2405320056933,50.2405320056933
21,1050.0,1050.0,0.0,0.0,0.0,Stable,4,21.828823402938163,21.828823402938163,21.828823402938163,21.828823402938163
22,1100.0,1100.0,0.0,0.0,0.0,Stable,4,62.402634087765875,62.402634087765875,62.402634087765875,62.402634087765875
23,1150.0,1150.0,0.0,0.0,0.0,Stable,4,55.0661731196526,55.0661731196526,55.0661731196526,55.0661731196526
24,1200.0,1200.0,0.0,0.0,0.0,Stable,4,46.257996683255875,46.257996683255875,46.257996683255875,46.257996683255875
25,1250.0,1250.0,0.0,0.0,0.0,Stable,4,80.55519503381291,80.55519503381291,80.55519503381291,80.55519503381291
26,1300.0,1300.0,0.0,0.0,0.0,Stable,4,0.09222188123134133,0.09222188123134133,0.09222188123134133,0.09222188123134133
27,1350.0,1350.0,0.0,0.0,0.0,Stable,4,44.3852635824427,44.3852635824427,44.3852635824427,44.3852635824427
28,1400.0,1400.0,0.0,0.0,0.0,Stable,4,64.330029813648,64.330029813648,64.330029813648,64.330029813648
